id,week,weight,regime,gender,dosage
B38647,9,493.8,GMO,Male,11%
B38647,10,502.9,GMO,Male,11%
B38647,11,506.1,GMO,Male,11%
B38647,12,516.4,GMO,Male,11%
B38647,13,532.2,GMO,Male,11%
B38647,14,536.2,GMO,Male,11%
B38648,1,223.5,GMO,Male,11%
B38648,2,263.8,GMO,Male,11%
B38648,3,285.9,GMO,Male,11%
B38648,4,306.3,GMO,Male,11%
B38648,5,336.3,GMO,Male,11%
B38648,6,351.7,GMO,Male,11%
B38648,7,379.6,GMO,Male,11%
B38648,8,407.2,GMO,Male,11%
B38648,9,422.5,GMO,Male,11%
B38648,10,435.3,GMO,Male,11%
B38648,11,449.2,GMO,Male,11%
B38648,12,446,GMO,Male,11%
B38648,13,468.1,GMO,Male,11%
B38648,14,470.9,GMO,Male,11%
B38649,1,225.7,GMO,Male,11%
B38649,2,273.8,GMO,Male,11%
B38649,3,329,GMO,Male,11%
B38649,4,365.1,GMO,Male,11%
B38649,5,398.4,GMO,Male,11%
B38649,6,423.9,GMO,Male,11%
B38649,7,448.7,GMO,Male,11%
B38649,8,472.8,GMO,Male,11%
B38649,9,486,GMO,Male,11%
B38649,10,508.1,GMO,Male,11%
B38649,11,517.4,GMO,Male,11%
B38649,12,518.5,GMO,Male,11%
B38649,13,537.3,GMO,Male,11%
B38649,14,542.6,GMO,Male,11%
B38650,1,225.2,GMO,Male,11%
B38650,2,273.8,GMO,Male,11%
B38650,3,326.1,GMO,Male,11%
B38650,4,361.6,GMO,Male,11%
B38650,5,389.3,GMO,Male,11%
B38650,6,410.2,GMO,Male,11%
B38650,7,430.7,GMO,Male,11%
B38650,8,455.2,GMO,Male,11%
B38650,9,465.6,GMO,Male,11%
B38650,10,485.4,GMO,Male,11%
B38650,11,490.2,GMO,Male,11%
B38650,12,494.1,GMO,Male,11%
B38650,13,505.8,GMO,Male,11%
B38650,14,504.1,GMO,Male,11%
B38651,1,243.3,GMO,Male,11%
B38651,2,286.7,GMO,Male,11%
B38651,3,324.6,GMO,Male,11%
B38651,4,351.7,GMO,Male,11%
B38651,5,380,GMO,Male,11%
B38651,6,402.3,GMO,Male,11%
B38651,7,429.3,GMO,Male,11%
B38651,8,453.2,GMO,Male,11%
B38651,9,459.4,GMO,Male,11%
B38651,10,482.2,GMO,Male,11%
B38651,11,493.6,GMO,Male,11%
B38651,12,496.2,GMO,Male,11%
B38651,13,508.7,GMO,Male,11%
B38651,14,515.9,GMO,Male,11%
B38652,1,245.9,GMO,Male,11%
B38652,2,287.9,GMO,Male,11%
B38652,3,326.9,GMO,Male,11%
B38652,4,349,GMO,Male,11%
B38652,5,371.7,GMO,Male,11%
B38652,6,396.6,GMO,Male,11%
B38652,7,418.3,GMO,Male,11%
B38652,8,433.1,GMO,Male,11%
B38652,9,443.6,GMO,Male,11%
B38652,10,455.2,GMO,Male,11%
B38652,11,471.5,GMO,Male,11%
B38652,12,473,GMO,Male,11%
B38652,13,484.5,GMO,Male,11%
B38652,14,484.6,GMO,Male,11%
B38653,1,245.5,GMO,Male,11%
B38653,2,293.3,GMO,Male,11%
B38653,3,323.2,GMO,Male,11%
B38653,4,347,GMO,Male,11%
B38653,5,372.1,GMO,Male,11%
B38653,6,397.8,GMO,Male,11%
B38653,7,416.9,GMO,Male,11%
B38653,8,430,GMO,Male,11%
B38653,9,448.4,GMO,Male,11%
B38653,10,455.9,GMO,Male,11%
B38653,11,473.7,GMO,Male,11%
B38653,12,478.5,GMO,Male,11%
B38653,13,496.3,GMO,Male,11%
B38653,14,506.7,GMO,Male,11%
B38654,1,237.8,GMO,Male,11%
B38654,2,289.2,GMO,Male,11%
B38654,3,336.9,GMO,Male,11%
B38654,4,371.5,GMO,Male,11%
B38654,5,402.7,GMO,Male,11%
B38654,6,432.7,GMO,Male,11%
B38654,7,452,GMO,Male,11%
B38654,8,482.8,GMO,Male,11%
B38654,9,491,GMO,Male,11%
B38654,10,507.2,GMO,Male,11%
B38654,11,517.3,GMO,Male,11%
B38654,12,532.1,GMO,Male,11%
B38654,13,548.7,GMO,Male,11%
B38654,14,561.5,GMO,Male,11%
B38655,1,235.7,GMO,Male,11%
B38655,2,276.9,GMO,Male,11%
B38655,3,305.5,GMO,Male,11%
B38655,4,327.8,GMO,Male,11%
B38655,5,349,GMO,Male,11%
B38655,6,372,GMO,Male,11%
B38655,7,391.3,GMO,Male,11%
B38655,8,406.2,GMO,Male,11%
B38655,9,411.6,GMO,Male,11%
B38655,10,426.5,GMO,Male,11%
B38655,11,427.5,GMO,Male,11%
B38655,12,434.7,GMO,Male,11%
B38655,13,446.6,GMO,Male,11%
B38655,14,454.8,GMO,Male,11%
B38656,1,253.5,GMO,Male,11%
B38656,2,303.6,GMO,Male,11%
B38656,3,356.2,GMO,Male,11%
B38656,4,391.1,GMO,Male,11%
B38656,5,431.8,GMO,Male,11%
B38656,6,369.2,GMO,Male,11%
B38656,7,287.4,GMO,Male,11%
B38656,8,413.3,GMO,Male,11%
B38656,9,454.5,GMO,Male,11%
B38656,10,488.9,GMO,Male,11%
B38656,11,533.7,GMO,Male,11%
B38656,12,545.1,GMO,Male,11%
B38656,13,553.4,GMO,Male,11%
B38656,14,566.4,GMO,Male,11%
B38657,1,227.1,GMO,Male,11%
B38657,2,270.9,GMO,Male,11%
B38657,3,305.9,GMO,Male,11%
B38657,4,350.5,GMO,Male,11%
B38657,5,383.3,GMO,Male,11%
B38657,6,419.1,GMO,Male,11%
B38657,7,444.1,GMO,Male,11%
B38657,8,467.1,GMO,Male,11%
B38657,9,476,GMO,Male,11%
B38657,10,497.7,GMO,Male,11%
B38657,11,516.5,GMO,Male,11%
B38657,12,519.9,GMO,Male,11%
B38657,13,535.1,GMO,Male,11%
B38657,14,529.2,GMO,Male,11%
